reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
19.A.1,ΕΤΟΥΣ, ,Adjective,,Singular,,,,Feminine,Accusative,
19.A.1,δευτέρου, ,Adjective,,Singular,,,,Masculine,Genitive,
19.A.1,βασιλεύοντος, ,Verb,,Singular,Present,Participle,Active,Masculine,Genitive,
19.A.1,Ἀρταξέρξου, ,Noun,,Singular,,,,Masculine,Genitive,
19.A.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
19.A.1,μεγάλου, ,Adjective,,Singular,,,,Masculine,Genitive,
19.A.1,βασιλέως, ,Noun,,Singular,,,,Masculine,Genitive,
19.A.1,τῇ, ,Article,,Singular,,,,Feminine,Dative,
19.A.1,μιᾷ, ,Adjective,,Singular,,,,Feminine,Dative,
19.A.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
19.A.1,Νεισὰ, ,Noun,,Singular,,,,Neuter,Accusative,
19.A.1,ἐνύπνιον, ,Noun,,Singular,,,,Neuter,Accusative,
19.A.1,ἴδεν, ,Verb,Third,Singular,Aorist,Indicative,Active,,,
19.A.1,Μαρδοχαῖος, ,Noun,,Singular,,,,Masculine,Nominative,
19.A.1,ὁ, ,Article,,Singular,,,,Masculine,Nominative,
19.A.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
19.A.1,Ἰαείρου, ,Noun,,Singular,,,,Masculine,Genitive,
19.A.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
19.A.1,Σεμεείου, ,Noun,,Singular,,,,Masculine,Genitive,
19.A.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
19.A.1,Κεισαίου, ,Noun,,Singular,,,,Masculine,Genitive,
19.A.1,ἐκ, ,Adposition,,,,,,,,
19.A.1,φυλῆς, ,Noun,,Singular,,,,Feminine,Genitive,
19.A.1,Βενιαμείν,", ",Noun,,Singular,,,,Masculine,Genitive,
19.A.1,ἄνθρωπος, ,Noun,,Singular,,,,Masculine,Nominative,
19.A.2,Ἰουδαῖος, ,Adjective,,Singular,,,,Masculine,Nominative,
19.A.2,οἰκῶν, ,Noun,,Plural,,,,Masculine,Genitive,
19.A.2,ἐν, ,Adposition,,,,,,,,
19.A.2,Σούσοις, ,Noun,,Plural,,,,Feminine,Dative,
19.A.2,τῇ, ,Article,,Singular,,,,Feminine,Dative,
19.A.2,πόλει,", ",Noun,,Singular,,,,Feminine,Dative,
19.A.2,ἄνθρωπος, ,Noun,,Singular,,,,Masculine,Nominative,
19.A.2,μέγας,", ",Adjective,,Singular,,,,Masculine,Nominative,
19.A.2,θεραπεύων, ,Verb,,Singular,Present,Participle,Active,Masculine,Nominative,
19.A.2,ἐν, ,Adposition,,,,,,,,
19.A.2,τῇ, ,Article,,Singular,,,,Feminine,Dative,
