reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
44.1.1,ΛΟΓΟΣ, ,Noun,,Singular,,,,Masculine,Nominative,
44.1.1,Κυρίου, ,Noun,,Singular,,,,Masculine,Genitive,
44.1.1,ὃς, ,Pronoun,,Singular,,,,Masculine,Nominative,
44.1.1,ἐγενήθη, ,Verb,Third,Singular,Aorist,Indicative,Passive,,,
44.1.1,πρὸς, ,Adposition,,,,,,,,
44.1.1,Σοφονίαν, ,Noun,,Singular,,,,Feminine,Accusative,
44.1.1,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
44.1.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
44.1.1,Χουσεὶ, ,Noun,,Singular,,,,,Genitive,
44.1.1,υἱὸν, ,Noun,,Singular,,,,Masculine,Accusative,
44.1.1,Γοδολίου, ,Noun,,Singular,,,,Masculine,Genitive,
44.1.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
44.1.1,Ἀμορίου, ,Noun,,Singular,,,,Masculine,Genitive,
44.1.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
44.1.1,Ἑζεκίου, ,Noun,,Singular,,,,Masculine,Genitive,
44.1.1,ἐν, ,Adposition,,,,,,,,
44.1.1,ἡμέραις, ,Noun,,Plural,,,,Feminine,Dative,
44.1.1,Ἰωσείου, ,Noun,,Singular,,,,Masculine,Genitive,
44.1.1,υἱοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
44.1.1,Ἀμὼν, ,Noun,,Singular,,,,Masculine,Nominative,
44.1.1,βασιλέως, ,Noun,,Singular,,,,Masculine,Genitive,
44.1.1,Ἰούδα,. ,Noun,,Singular,,,,,Genitive,
44.1.1,Ἐκλείψει, ,Verb,Third,Singular,Future,Indicative,Active,,,
44.1.2,ἐκλιπέτω, ,Verb,Third,Singular,Aorist,Imperative,Active,,,
44.1.2,ἀπὸ, ,Adposition,,,,,,,,
44.1.2,προσώπου, ,Noun,,Singular,,,,Neuter,Genitive,
44.1.2,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
44.1.2,γῆς,", ",Noun,,Singular,,,,Feminine,Genitive,
44.1.2,λέγει, ,Verb,Third,Singular,Present,Indicative,Active,,,
44.1.2,Κύριος,· ,Noun,,Singular,,,,Masculine,Nominative,
44.1.2,ἐκλιπέτω, ,Verb,Third,Singular,Aorist,Imperative,Active,,,
44.1.3,ἄνθρωπος, ,Noun,,Singular,,,,Masculine,Nominative,
44.1.3,καὶ, ,Conjunction,,,,,,,,
44.1.3,κτήνη,", ",Noun,,Singular,,,,Neuter,Nominative,
44.1.3,ἐκλιπέτω, ,Verb,Third,Singular,Aorist,Imperative,Active,,,
