reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
55.1.1,ΚΑΙ, ,Adposition,,,,,,,,
55.1.1,ἦν, ,Verb,Third,Singular,Imperfect,Indicative,Active,,,
55.1.1,ἀνὴρ, ,Noun,,Singular,,,,Masculine,Nominative,
55.1.1,οἰκῶν, ,Noun,,Plural,,,,Masculine,Genitive,
55.1.1,ἐν, ,Adposition,,,,,,,,
55.1.1,Βαβυλῶνι,", ",Noun,,Singular,,,,Feminine,Dative,
55.1.1,καὶ, ,Conjunction,,,,,,,,
55.1.1,ὄνομα, ,Noun,,Singular,,,,Neuter,Accusative,
55.1.1,αὐτῷ, ,Pronoun,,Singular,,,,Masculine,Dative,
55.1.1,Ἰωακείμ,. ,Noun,,Singular,,,,Masculine,Nominative,
55.1.1,καὶ, ,Adverb,,,,,,,,
55.1.2,ἔλαβεν, ,Verb,Third,Singular,Aorist,Indicative,Active,,,
55.1.2,γυναῖκα, ,Noun,,Singular,,,,Feminine,Accusative,
55.1.2,ᾗ, ,Pronoun,,Singular,,,,Feminine,Dative,
55.1.2,ὄνομα, ,Noun,,Singular,,,,Neuter,Nominative,
55.1.2,Σουσάννα,", ",Noun,,Singular,,,,Feminine,Nominative,
55.1.2,θυγάτηρ, ,Noun,,Singular,,,,Feminine,Nominative,
55.1.2,Χελκείου,", ",Adjective,,Singular,,,,Neuter,Genitive,
55.1.2,καλὴ, ,Adjective,,Singular,,,,Feminine,Nominative,
55.1.2,σφόδρα, ,Adverb,,,,,,,,
55.1.2,καὶ, ,Conjunction,,,,,,,,
55.1.2,φοβουμένη, ,Verb,,Singular,Present,Participle,Medio-passive,Feminine,Nominative,
55.1.2,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
55.1.2,κύριον,. ,Noun,,Singular,,,,Masculine,Accusative,
55.1.2,καὶ, ,Adverb,,,,,,,,
55.1.3,οἱ, ,Article,,Plural,,,,Masculine,Nominative,
55.1.3,γονεῖς, ,Verb,Second,Plural,Present,Indicative,Active,,,
55.1.3,αὐτῆς, ,Pronoun,,Singular,,,,Feminine,Genitive,
55.1.3,δίκαιοι,", ",Adjective,,Plural,,,,Masculine,Nominative,
55.1.3,καὶ, ,Conjunction,,,,,,,,
55.1.3,ἐδίδαξαν, ,Verb,Third,Plural,Aorist,Indicative,Active,,,
